school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested
"New Explorations into Science, Technology and Math High School",Manhattan,M022,657,601,601,
Essex Street Academy,Manhattan,M445,395,411,387,78.9
Lower Manhattan Arts Academy,Manhattan,M445,418,428,415,65.1
High School for Dual Language and Asian Studies,Manhattan,M445,613,453,463,95.9
Henry Street School for International Studies,Manhattan,M056,410,406,381,59.7
Bard High School Early College,Manhattan,M097,634,641,639,70.8
Urban Assembly Academy of Government and Law,Manhattan,M445,389,395,381,80.8
Marta Valle High School,Manhattan,M025,438,413,394,35.6
University Neighborhood High School,Manhattan,M446,437,355,352,69.9
New Design High School,Manhattan,M445,381,396,372,73.7
Pace High School,Manhattan,M131,430,435,427,87.8
High School for Health Professions and Human Services,Manhattan,M475,452,445,430,86.9
High School for Language and Diplomacy,Manhattan,M460,446,433,411,70.2
International High School at Union Square,Manhattan,M460,403,330,316,53.2
Institute for Collaborative Education,Manhattan,M475,501,550,541,78.6
Gramercy Arts High School,Manhattan,M460,446,459,455,79.6
Urban Assembly New York Harbor School,Manhattan,M877,446,453,428,78.8
Richard R. Green High School of Teaching,Manhattan,M282,411,415,409,60.0
Millennium High School,Manhattan,M824,577,560,567,94.0
Urban Assembly School of Business for Young Women,Manhattan,M282,418,420,417,
High School of Economics and Finance,Manhattan,M833,469,442,447,66.8
Leadership and Public Service High School,Manhattan,M894,390,396,392,54.9
East Side Community School,Manhattan,M060,454,428,445,85.2
Baruch College Campus High School,Manhattan,M874,592,526,531,94.3
School of the Future High School,Manhattan,M660,534,533,522,89.9
Manhattan Village Academy,Manhattan,M873,522,479,510,98.8
NYC Lab School for Collaborative Studies,Manhattan,M070,595,550,555,79.8
Hudson High School of Learning Technologies,Manhattan,M440,378,407,388,71.8
Manhattan Business Academy,Manhattan,M440,410,407,399,69.7
Landmark High School,Manhattan,M440,386,386,386,30.6
High School of Fashion Industries,Manhattan,M600,433,442,427,80.6
NYC Museum School,Manhattan,M070,560,530,522,90.0
Chelsea Career and Technical Education High School,Manhattan,M615,439,418,400,80.4
NYC iSchool,Manhattan,M615,518,515,503,96.0
Manhattan Academy for Arts and Language,Manhattan,M620,350,334,321,46.1
Unity Center for Urban Technologies,Manhattan,M620,375,385,387,62.8
Business of Sports School,Manhattan,M625,395,386,371,67.5
Facing History School,Manhattan,M535,366,356,371,57.3
High School of Hospitality Management,Manhattan,M535,451,433,424,
Urban Assembly School of Design and Construction,Manhattan,M535,445,417,403,60.6
High School for Environmental Studies,Manhattan,M834,469,454,444,74.0
Art and Design High School,Manhattan,M488,455,475,458,70.1
Manhattan Bridges High School,Manhattan,M535,409,360,347,84.4
Urban Assembly Gateway School for Technology,Manhattan,M625,445,432,415,78.4
Food and Finance High School,Manhattan,M535,428,435,421,52.0
Eleanor Roosevelt High School,Manhattan,M855,641,617,631,86.0
"High School for Arts, Imagination, and Inquiry",Manhattan,M490,375,389,380,58.8
Urban Assembly School for Media Studies,Manhattan,M490,392,419,396,49.5
Beacon High School,Manhattan,M837,583,586,595,82.8
Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,592,592,597,88.5
High School of Arts and Technology,Manhattan,M490,421,428,406,44.4
Manhattan / Hunter Science High School,Manhattan,M490,581,531,535,97.2
"High School for Law, Advocacy, and Community Justice",Manhattan,M490,415,417,402,60.5
Urban Assembly School for Green Careers,Manhattan,M470,393,371,378,60.0
Frank McCourt High School,Manhattan,M470,489,491,500,89.1
Global Learning Collaborative,Manhattan,M470,406,407,413,59.4
Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,381,401,392,52.6
Frederick Douglass Academy II Secondary School,Manhattan,M088,390,384,373,
Columbia Secondary School,Manhattan,M125,583,561,546,88.2
Academy for Social Action (College Board),Manhattan,M043,357,349,365,54.0
Urban Assembly School for the Performing Arts,Manhattan,M043,379,399,388,76.7
Heritage School,Manhattan,M107,385,380,370,56.8
Central Park East High School,Manhattan,M013,483,468,439,97.9
Park East High School,Manhattan,M495,429,433,435,89.6
Young Women's Leadership School,Manhattan,M895,478,465,472,100.0
Manhattan Center for Science and Mathematics,Manhattan,M435,556,505,495,87.6
Mott Hall High School,Manhattan,M136,416,445,440,36.9
Thurgood Marshall Academy for Learning and Social Change,Manhattan,M970,402,394,400,84.7
"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,683,610,596,92.6
A. Philip Randolph Campus High School,Manhattan,M540,459,453,447,74.0
